Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
A1BG			protein-coding gene	ENSG00000121410
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	non-coding RNA	ENSG00000268895
A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	protein-coding gene	ENSG00000148584
A1S9T			other	
A2M		FWP007, S863-7, CPAMD5	protein-coding gene	ENSG00000175899
A2M-AS1			non-coding RNA	ENSG00000245105
A2ML1	CPAMD9	FLJ25179, p170	protein-coding gene	ENSG00000166535
A2ML1-AS1			non-coding RNA	ENSG00000256661
A2ML1-AS2			non-coding RNA	ENSG00000256904
A2MP1	A2MP		pseudogene	ENSG00000256069
A2MR			other	
A2MRAP			other	
A3GALT2	A3GALT2P	IGBS3S, IGB3S	protein-coding gene	ENSG00000184389
A4GALT	P1	A14GALT, Gb3S, P(k)	protein-coding gene	ENSG00000128274
A4GNT		alpha4GnT	protein-coding gene	ENSG00000118017
A12M1			other	
A12M2			other	
A12M3			other	
A12M4			other	
AA	AA		phenotype	
AAAS			protein-coding gene	ENSG00000094914
AABT			other	
AAC1			other	
AAC2			other	
AACS		FLJ12389, SUR-5, ACSF1	protein-coding gene	ENSG00000081760
AACSP1	AACSL		pseudogene	ENSG00000250420
AACT			other	
AADAC		DAC, CES5A1	protein-coding gene	ENSG00000114771
AADACL2		MGC72001	protein-coding gene	ENSG00000197953
AADACL2-AS1			non-coding RNA	ENSG00000242908
AADACL3		OTTHUMG00000001887	protein-coding gene	ENSG00000188984
AADACL4		OTTHUMG00000001889	protein-coding gene	ENSG00000204518
AADACP1			pseudogene	ENSG00000240602
AADAT		KATII, KAT2, KYAT2	protein-coding gene	ENSG00000109576
AAGAB		FLJ11506, p34	protein-coding gene	ENSG00000103591
AAK1		KIAA1048, DKFZp686K16132	protein-coding gene	ENSG00000115977
AAMDC	C11orf67	PTD015, FLJ21035, CK067	protein-coding gene	ENSG00000087884
AAMP			protein-coding gene	ENSG00000127837
AANAT		SNAT	protein-coding gene	ENSG00000129673
AAR2	C20orf4	bA234K24.2	protein-coding gene	ENSG00000131043
AARD	C8orf85	LOC441376	protein-coding gene	ENSG00000205002
AARS1	AARS	CMT2N, AlaRS	protein-coding gene	ENSG00000090861
AARS1P1	AARSP1		pseudogene	ENSG00000249038
AARS2	AARSL	KIAA1270, bA444E17.1	protein-coding gene	ENSG00000124608
AARSD1		MGC2744	protein-coding gene	ENSG00000266967
AARSD1P1			pseudogene	ENSG00000234969
AASDH		NRPS998, LYS2, ACSF4	protein-coding gene	ENSG00000157426
AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS	protein-coding gene	ENSG00000149313
AASS		LORSDH, LKRSDH	protein-coding gene	ENSG00000008311
AATBC			non-coding RNA	ENSG00000215458
AATF		DED, CHE-1, CHE1, BFR2	protein-coding gene	ENSG00000275700
AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	protein-coding gene	ENSG00000181409
AAVS1		AAV	other	
ABALON		INXS	non-coding RNA	ENSG00000281376
ABAT		GABAT, GABA-T	protein-coding gene	ENSG00000183044
ABC1			other	
ABC2			other	
ABC3			other	
ABC7			other	
ABC50			other	
ABCA1	ABC1, HDLDT1	TGD	protein-coding gene	ENSG00000165029
ABCA2	ABC2		protein-coding gene	ENSG00000107331
ABCA3	ABC3	ABC-C, EST111653, LBM180	protein-coding gene	ENSG00000167972
ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	protein-coding gene	ENSG00000198691
ABCA5		EST90625	protein-coding gene	ENSG00000154265
ABCA6		EST155051	protein-coding gene	ENSG00000154262
ABCA7		ABCX	protein-coding gene	ENSG00000064687
ABCA8		KIAA0822	protein-coding gene	ENSG00000141338
ABCA9		EST640918	protein-coding gene	ENSG00000154258
ABCA9-AS1			non-coding RNA	ENSG00000231749
ABCA10		EST698739	protein-coding gene	ENSG00000154263
ABCA11P	ABCA11	EST1133530, FLJ14297	pseudogene	ENSG00000251595
ABCA12	ICR2B	DKFZP434G232, LI2	protein-coding gene	ENSG00000144452
ABCA13		FLJ33876, FLJ33951	protein-coding gene	ENSG00000179869
ABCA17P			pseudogene	ENSG00000238098
ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	protein-coding gene	ENSG00000085563
ABCB2			other	
ABCB3			other	
ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	protein-coding gene	ENSG00000005471
ABCB5		EST422562, ABCB5beta, ABCB5alpha	protein-coding gene	ENSG00000004846
ABCB6		EST45597, umat, MTABC3	protein-coding gene	ENSG00000115657
ABCB7	ABC7	EST140535, Atm1p, ASAT	protein-coding gene	ENSG00000131269
ABCB8		EST328128, M-ABC1, MABC1, MITOSUR	protein-coding gene	ENSG00000197150
ABCB9		EST122234	protein-coding gene	ENSG00000150967
ABCB10		EST20237, M-ABC2, MTABC2	protein-coding gene	ENSG00000135776
ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	pseudogene	ENSG00000274099
ABCB10P2			pseudogene	
ABCB10P3			pseudogene	ENSG00000261524
ABCB10P4			pseudogene	ENSG00000260053
ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	protein-coding gene	ENSG00000073734
ABCC1	MRP, MRP1	GS-X	protein-coding gene	ENSG00000103222
ABCC2	CMOAT	DJS, MRP2, cMRP	protein-coding gene	ENSG00000023839
ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	protein-coding gene	ENSG00000108846
ABCC4		MRP4, EST170205, MOAT-B, MOATB	protein-coding gene	ENSG00000125257
ABCC5		MRP5, SMRP, EST277145, MOAT-C	protein-coding gene	ENSG00000114770
ABCC5-AS1			non-coding RNA	ENSG00000223882
ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	protein-coding gene	ENSG00000091262
ABCC6P1			pseudogene	ENSG00000256340
ABCC6P2			pseudogene	ENSG00000255277
ABCC7			other	
ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	protein-coding gene	ENSG00000006071
ABCC9		SUR2, CMD1O	protein-coding gene	ENSG00000069431
