gene,FDR_Mtb:RSTR.interaction,mean.log2expression_LTBI.media,mean.log2expression_RSTR.media,mean.log2expression_LTBI.mtb,mean.log2expression_RSTR.mtb,old.DEG
ABCA1,0.06986,7.793803629867042,7.704172849913696,8.55814852547941,9.049721992017867,
ABCE1,0.196393574297189,5.80209110418092,5.851813019662698,5.95728626028456,5.8080306928701635,
ACACB,0.198832307692308,2.8851965592894726,2.8597240594899147,2.186934558073169,1.4653082408764808,Y
ACSS1,0.10218328358209,4.743386157676988,4.775122300235513,4.183023840341771,3.5959999701193173,Y
ADA,0.15033164556962,6.143764891409826,6.184057212993895,7.066879458609502,7.484703435084207,
ADAMDEC1,0.178788625592417,8.060762479129501,8.001524390021011,7.900152927405064,8.082235237814928,
ADAMTS1,0.101614545454545,-2.859318195981443,-3.599348625924597,-2.488077177621578,-1.8600407791798343,Y
ADARB1,0.0546178181818182,3.3724873885187105,3.175066972389725,3.668302881112414,4.114582885439824,
ADGRE2,0.17465,6.260640316294909,6.420936132272799,7.074074742719468,7.789499654964159,
AEN,0.101409677419355,4.105387524816126,4.2252680013715445,4.970446934780773,4.668245899662455,
AKAP1,0.17465,4.66165286603191,4.82621654238587,3.9191183945564605,3.684966595375735,
AKAP13,0.0931466666666667,9.201580291676885,9.265563970614236,9.366503450586874,9.21842860381882,Y
AKT1,0.127018181818182,6.490912352242064,6.502558652577477,6.167046076868045,6.333082862677758,
AKT3,0.188318260869565,5.212087131055139,4.949788226661327,6.876333061572342,7.006727627950401,
ALPK1,0.127018181818182,5.3753020106477845,5.398951256746355,5.396164556206571,5.077331400780595,Y
AMD1,0.138729078014184,6.877593613844226,6.974942302962593,6.449283758678902,6.349268391281086,
ANKRD36,0.136568421052632,5.451822819137583,5.449158297215616,5.603430216335933,5.244074574282422,
ANKRD44,0.0780788235294118,6.429624796855777,6.362571056379311,6.15711731760236,5.740133884409477,
ANPEP,0.190257021276596,8.862737590236687,9.015650146344832,9.177391138287897,9.669293798520522,
APOL4,0.040918,-0.4761557447073306,-0.20808441000436942,2.488159812197379,0.6665881056738657,
ARAF,0.142571428571429,5.7005134824804475,5.683508445369987,5.6437741990062396,5.805096783683168,
ARAP1,0.123282352941176,9.069863595349618,9.101523865001376,8.854949371240629,9.077356228556605,
ARHGAP15,0.127018181818182,4.746155993373733,4.685531007919412,4.889498824494178,4.402834623855091,
ARL6IP1,0.181960930232558,7.219269696239834,7.222782161370597,7.39561626554568,7.522722826159301,
B4GALT1,0.198832307692308,7.3089220576328415,7.276670968875494,8.28014183891256,8.463125090861407,
BTN2A2,0.166711363636364,4.272358883574908,4.2880554201448176,4.249591360033443,3.937277928374374,
C11orf65,0.0640383333333333,0.8890806135882046,1.323840546087486,0.8483589887889769,0.35734971760514617,Y
C2CD5,0.118224615384615,5.995005097242629,6.084221145671946,5.232988295872051,5.0131949803332425,
CAAP1,0.188318260869565,3.83382496901256,3.746023609977305,3.629534913193864,3.8138715148866384,Y
CACUL1,0.188318260869565,7.019740007160403,7.021601673943972,6.934026377709503,7.084247265766967,
CANT1,0.178788625592417,6.114782486808734,6.103471055731644,6.424034565744174,6.572742806068301,
CCDC125,0.0947254237288136,2.982808845322462,3.1873753571714865,2.1491285183893902,1.6265854434703761,Y
CD2BP2,0.0947254237288136,5.304331814986804,5.271999642455306,5.202216584593537,5.334867137204017,
CD300E,0.0719769696969697,7.073795586099342,7.224759996909111,6.221532869523797,7.209881678787746,
CDCA7L,0.136568421052632,3.28907860243064,3.3511956782396526,3.228463942462438,2.773107834607047,
CDR2,0.0546178181818182,4.098080947517023,4.177508399419592,4.185088121958484,3.7041067576440128,Y
CEP164,0.15033164556962,5.765730974839488,5.7559720939157355,5.713266249375508,5.89810866630297,
CERKL,0.197251764705882,3.6319274380526507,3.739253701370351,3.203297163180381,2.807124933595126,
CFP,0.138729078014184,3.889752862929173,4.0542450998328485,3.8032213738684226,4.2547930025967835,
CHST7,0.173705945945946,4.072353212428208,3.845959731199057,4.898831612291798,5.178418796966405,
CIITA,1.46706e-4,7.573127151132784,7.527052780860808,7.492693872532738,6.66264592409701,Y
CIRH1A,0.0719769696969697,4.1097298402823625,4.273474595843072,4.054943922759991,3.9153977394770827,
CLCF1,0.178788625592417,1.5256921146281965,0.9832587690984835,4.02233633235456,4.109631565863269,
CLEC6A,0.124021123595506,-1.869056115274269,-2.3429972512610786,-0.3481145672869576,0.4055545818524814,
CLNS1A,0.0546178181818182,5.679749863279653,5.7220993623268805,5.605848934654089,5.42862014745525,
CNBP,0.136568421052632,8.001147086140582,8.090415154821796,7.433170156329281,7.312496713446871,
COPB1,0.114137464788732,7.151026947510567,7.165362526114023,7.273899722955695,7.416061661692982,
CRAMP1,0.178788625592417,5.294437076186904,5.194359320392244,5.5721153348521115,5.601275634421816,
CRCP,0.178788625592417,5.060539153541082,5.139139895686202,4.800830078639609,4.639985476979334,
CRTC2,0.15033164556962,5.508336887742744,5.369584924939117,5.770763406109029,5.817699686953944,
CSF1R,0.0947254237288136,9.4873678721607,9.637548068794295,8.237296518112972,8.73413516109,
CST3,0.196393574297189,7.53567768231819,7.754136084520541,7.133421110302443,7.5244848613696025,
CTNNB1,0.178788625592417,7.833889863172553,7.848586575357403,8.090237740558054,8.306377662533079,
CUL3,0.190257021276596,6.619701433932637,6.585990504242603,6.774428305841627,6.855004089892434,
CUX1,0.0947254237288136,7.216248305410449,7.250798048441441,7.387565221409632,7.652732071714138,
CXCL9,1.46706e-4,3.1053530921218004,3.150184768849893,6.5247544918113904,4.712851326966128,
CYB5R3,0.16246511627907,6.59266129753711,6.619776665371309,6.7985247759329726,7.014750106330517,
DDX10,0.0048902,5.574183697940391,5.689815869268055,5.476113974668223,5.2849835493415345,
