geneName,protein.coding,abundant
5_8S_rRNA,N,N
5S_rRNA,N,N
7SK,N,N
A1BG,Y,Y
A1BG-AS1,N,N
A1CF,Y,N
A2M,Y,Y
A2M-AS1,N,N
A2ML1,Y,Y
A2ML1-AS1,N,N
A2ML1-AS2,N,N
A3GALT2,Y,N
A4GALT,Y,Y
A4GNT,Y,N
AA06,N,N
AAAS,Y,Y
AACS,Y,Y
AADAC,Y,N
AADACL2,Y,N
AADACL2-AS1,N,N
AADACL3,Y,N
AADACL4,Y,N
AADAT,Y,N
AAED1,Y,Y
AAGAB,Y,Y
AAK1,Y,Y
AAMDC,Y,Y
AAMP,Y,Y
AANAT,Y,Y
AAR2,Y,Y
AARD,Y,N
AARS,Y,Y
AARS2,Y,Y
AARSD1,Y,Y
AASDH,Y,Y
AASDHPPT,Y,Y
AASS,Y,Y
AATBC,N,N
AATF,Y,Y
AATK,Y,Y
AATK-AS1,Y,N
AB015752.3,N,N
AB019440.50,N,N
ABALON,N,N
ABAT,Y,Y
ABBA01037345.1,N,N
ABBA01037346.1,N,N
ABBA01037349.1,N,N
ABC11-4932300O16.1,N,N
ABC12-49244600F4.4,N,N
ABC14-864958H18.1,N,N
ABC7-42404400C24.1,N,N
ABC7-43046200P7.1,N,N
ABC7-481722F1.2,N,N
ABCA1,Y,Y
ABCA10,Y,Y
ABCA12,Y,N
ABCA13,Y,Y
ABCA2,Y,Y
ABCA3,Y,Y
ABCA4,Y,N
ABCA5,Y,Y
ABCA6,Y,Y
ABCA7,Y,Y
ABCA8,Y,N
ABCA9,Y,N
ABCA9-AS1,N,N
ABCB1,Y,Y
ABCB10,Y,Y
ABCB11,Y,Y
ABCB4,Y,Y
ABCB5,Y,Y
ABCB6,Y,Y
ABCB7,Y,Y
ABCB8,Y,Y
ABCB9,Y,Y
ABCC1,Y,Y
ABCC10,Y,Y
ABCC11,Y,N
ABCC12,Y,N
ABCC2,Y,Y
ABCC3,Y,Y
ABCC4,Y,Y
ABCC5,Y,Y
ABCC5-AS1,N,N
ABCC6,Y,Y
ABCC8,Y,N
ABCC9,Y,N
ABCD1,Y,Y
ABCD2,Y,Y
ABCD3,Y,Y
ABCD4,Y,Y
ABCE1,Y,Y
ABCF1,Y,Y
ABCF2,Y,Y
ABCF3,Y,Y
ABCG1,Y,Y
ABCG2,Y,Y
ABCG4,Y,N
ABCG5,Y,N
ABCG8,Y,N
ABHD1,Y,Y
ABHD10,Y,Y
ABHD11,Y,Y
ABHD11-AS1,N,N
ABHD12,Y,Y
ABHD12B,Y,Y
ABHD13,Y,Y
ABHD14A,Y,Y
ABHD14A-ACY1,N,N
ABHD14B,Y,Y
ABHD15,Y,Y
ABHD15-AS1,N,N
ABHD16A,Y,Y
